,date,location,new_cases,new_deaths,total_cases,total_deaths,population,total_cases%,total_deaths%,death_rate%,day_diff,days_since_first,infected_model,susceptible_model,r_squared
7421,2020-03-18,Peru,31,0,117,0,32131400,0.0003641297920414299,0.0,0.0,0.0,0.0,117.0,32131400.0,0.0
7422,2020-03-19,Peru,28,0,145,0,32131400,0.00045127196449578917,0.0,0.0,1.0,1.0,139.0,32131272.0,36.0
7423,2020-03-20,Peru,89,2,234,2,32131400,0.0007282595840828598,6.224440889597092e-06,0.8547008547008547,1.0,2.0,163.0,32131120.0,5041.0
7424,2020-03-21,Peru,29,1,263,3,32131400,0.0008185139769820176,9.336661334395638e-06,1.1406844106463878,1.0,3.0,193.0,32130941.0,4900.0
7425,2020-03-22,Peru,55,2,318,5,32131400,0.0009896861014459376,1.556110222399273e-05,1.5723270440251573,1.0,4.0,227.0,32130729.0,8281.0
7426,2020-03-23,Peru,45,0,363,5,32131400,0.001129736021461872,1.556110222399273e-05,1.3774104683195592,1.0,5.0,268.0,32130480.0,9025.0
7427,2020-03-24,Peru,32,0,395,5,32131400,0.0012293270756954257,1.556110222399273e-05,1.2658227848101267,1.0,6.0,316.0,32130185.0,6241.0
7428,2020-03-25,Peru,21,2,416,7,32131400,0.001294683705036195,2.1785543113589823e-05,1.6826923076923077,1.0,7.0,373.0,32129838.0,1849.0
7429,2020-03-26,Peru,142,1,558,8,32131400,0.0017366190081975887,2.4897763558388367e-05,1.4336917562724014,1.0,8.0,440.0,32129428.0,13924.0
7430,2020-03-27,Peru,22,1,580,9,32131400,0.0018050878579831567,2.8009984003186915e-05,1.5517241379310345,1.0,9.0,519.0,32128944.0,3721.0
7431,2020-03-28,Peru,55,2,635,11,32131400,0.0019762599824470766,3.4234424892784007e-05,1.7322834645669292,1.0,10.0,613.0,32128374.0,484.0
7432,2020-03-29,Peru,36,5,671,16,32131400,0.0020882999184598243,4.9795527116776734e-05,2.384500745156483,1.0,11.0,723.0,32127700.0,2704.0
7433,2020-03-30,Peru,181,2,852,18,32131400,0.0026516118189683613,5.601996800637383e-05,2.112676056338028,1.0,12.0,853.0,32126906.0,1.0
7434,2020-03-31,Peru,98,6,950,24,32131400,0.0029566094225586185,7.46932906751651e-05,2.526315789473684,1.0,13.0,1006.0,32125969.0,3136.0
7435,2020-04-01,Peru,115,6,1065,30,32131400,0.0033145147737104514,9.336661334395638e-05,2.816901408450704,1.0,14.0,1187.0,32124863.0,14884.0
7436,2020-04-02,Peru,258,17,1323,47,32131400,0.0041174676484684765,0.00014627436090553167,3.5525321239606953,1.0,15.0,1400.0,32123558.0,5929.0
7437,2020-04-03,Peru,91,8,1414,55,32131400,0.004400679708945144,0.00017117212446392003,3.8896746817538896,1.0,16.0,1652.0,32122019.0,56644.0
7438,2020-04-04,Peru,181,6,1595,61,32131400,0.004963991609453681,0.0001898454471327113,3.824451410658307,1.0,17.0,1948.0,32120203.0,124609.0
7439,2020-04-05,Peru,151,12,1746,73,32131400,0.005433936896618261,0.00022719209247029385,4.180985108820161,1.0,18.0,2298.0,32118061.0,304704.0
7440,2020-04-06,Peru,535,10,2281,83,32131400,0.007098974834585483,0.0002583142969182793,3.638754932047348,1.0,19.0,2711.0,32115535.0,184900.0
7441,2020-04-07,Peru,280,9,2561,92,32131400,0.007970396559129076,0.00028632428092146623,3.5923467395548614,1.0,20.0,3197.0,32112555.0,404496.0
7442,2020-04-08,Peru,393,15,2954,107,32131400,0.009193499193934905,0.0003330075875934444,3.6222071767095465,1.0,21.0,3770.0,32109041.0,665856.0
7443,2020-04-09,Peru,1388,14,4342,121,32131400,0.013513261171315287,0.00037657867382062405,2.7867342238599724,1.0,22.0,4446.0,32104897.0,10816.0
7444,2020-04-10,Peru,914,17,5256,138,32131400,0.016357830657861158,0.00042948642138219934,2.625570776255708,1.0,23.0,5242.0,32100011.0,196.0
7445,2020-04-11,Peru,641,31,5897,169,32131400,0.018352763962977026,0.0005259652551709542,2.865863998643378,1.0,24.0,6180.0,32094250.0,80089.0
7446,2020-04-12,Peru,951,12,6848,181,32131400,0.021312485605980442,0.0005633119005085368,2.643107476635514,1.0,25.0,7285.0,32087461.0,190969.0
7447,2020-04-13,Peru,671,12,7519,193,32131400,0.023400785524440266,0.0006006585458461194,2.5668306955712197,1.0,26.0,8585.0,32079459.0,1136356.0
